id,level,primary_en,secondary_en,note_en,note_ko,is_leaf,recommended_app_category,color_hex,source_confidence,remarks
fermented,leaf,Sour/Fermented,Alcohol/Fermented,Fermented,발효향,true,WINEY_FERMENTED,#8F3D54,high,
overripe,leaf,Sour/Fermented,Alcohol/Fermented,Overripe,과숙,true,WINEY_FERMENTED,#A84B3F,high,
green_vegetative_primary,primary,Green/Vegetative,,Green/Vegetative,그린/식물성,false,EARTHY_HERBAL,#16833A,high,SCA/WCR wheel primary category
olive_oil,leaf,Green/Vegetative,,Olive Oil,올리브 오일,true,EARTHY_HERBAL,#9B9B35,high,Outer descriptor directly under Green/Vegetative
raw,leaf,Green/Vegetative,,Raw,날것,true,EARTHY_HERBAL,#6B8E23,high,Outer descriptor directly under Green/Vegetative
green_vegetative_secondary,secondary,Green/Vegetative,Green/Vegetative,Green/Vegetative,풋내/식물성,false,EARTHY_HERBAL,#16833A,high,
under_ripe,leaf,Green/Vegetative,Green/Vegetative,Under-ripe,덜 익은,true,EARTHY_HERBAL,#6FAF45,high,
peapod,leaf,Green/Vegetative,Green/Vegetative,Peapod,완두콩 꼬투리,true,EARTHY_HERBAL,#77A85A,high,
fresh,leaf,Green/Vegetative,Green/Vegetative,Fresh,신선한 풀향,true,EARTHY_HERBAL,#4FAF5A,high,
dark_green,leaf,Green/Vegetative,Green/Vegetative,Dark Green,짙은 녹색 채소,true,EARTHY_HERBAL,#2F6F3E,high,
vegetative,leaf,Green/Vegetative,Green/Vegetative,Vegetative,채소 같은,true,EARTHY_HERBAL,#4F8A45,high,
hay_like,leaf,Green/Vegetative,Green/Vegetative,Hay-like,건초 같은,true,EARTHY_HERBAL,#B9A35A,high,
herb_like,leaf,Green/Vegetative,Green/Vegetative,Herb-like,허브 같은,true,EARTHY_HERBAL,#6B705C,high,
other,primary,Other,,Other,기타,false,EARTHY_HERBAL,#18A6B8,high,SCA/WCR wheel primary category
papery_musty,secondary,Other,Papery/Musty,Papery/Musty,종이/퀴퀴함,false,EARTHY_HERBAL,#9DA7A7,high,
stale,leaf,Other,Papery/Musty,Stale,스테일,true,EARTHY_HERBAL,#A9A9A9,high,
cardboard,leaf,Other,Papery/Musty,Cardboard,카드보드,true,EARTHY_HERBAL,#B69B7A,high,
papery,leaf,Other,Papery/Musty,Papery,종이 같은,true,EARTHY_HERBAL,#C9C2AD,high,
woody,leaf,Other,Papery/Musty,Woody,나무 같은,true,EARTHY_HERBAL,#8A5D3B,high,
moldy_damp,leaf,Other,Papery/Musty,Moldy/Damp,곰팡이/축축함,true,EARTHY_HERBAL,#6E7F78,high,
musty_dusty,leaf,Other,Papery/Musty,Musty/Dusty,퀴퀴한 먼지,true,EARTHY_HERBAL,#8B8175,high,
musty_earthy,leaf,Other,Papery/Musty,Musty/Earthy,퀴퀴한 흙내,true,EARTHY_HERBAL,#6B5A48,high,
animalic,leaf,Other,Papery/Musty,Animalic,동물성 냄새,true,EARTHY_HERBAL,#6F5A46,high,
meaty_brothy,leaf,Other,Papery/Musty,Meaty/Brothy,고기 육수 같은,true,EARTHY_HERBAL,#8A4F3D,high,
phenolic,leaf,Other,Papery/Musty,Phenolic,페놀릭,true,ROASTED_SMOKY,#5A4636,high,
chemical,secondary,Other,Chemical,Chemical,화학적,false,ROASTED_SMOKY,#66B9C9,high,
bitter,leaf,Other,Chemical,Bitter,쓴맛,true,ROASTED_SMOKY,#5C4A2F,high,
salty,leaf,Other,Chemical,Salty,짠맛,true,EARTHY_HERBAL,#AFC4C9,high,
medicinal,leaf,Other,Chemical,Medicinal,약품 같은,true,ROASTED_SMOKY,#74A9B8,high,
petroleum,leaf,Other,Chemical,Petroleum,석유 같은,true,ROASTED_SMOKY,#2F3B46,high,
skunky,leaf,Other,Chemical,Skunky,스컹크 같은,true,ROASTED_SMOKY,#3A3F34,high,
rubber,leaf,Other,Chemical,Rubber,고무 같은,true,ROASTED_SMOKY,#1F1F1F,high,
roasted,primary,Roasted,,Roasted,로스티드,false,ROASTED_SMOKY,#B9633A,high,SCA/WCR wheel primary category
pipe_tobacco,leaf,Roasted,,Pipe Tobacco,파이프 담배,true,ROASTED_SMOKY,#7A5038,high,Outer descriptor directly under Roasted
tobacco,leaf,Roasted,,Tobacco,담배,true,ROASTED_SMOKY,#5A4636,high,Outer descriptor directly under Roasted
burnt,secondary,Roasted,Burnt,Burnt,탄 향,false,ROASTED_SMOKY,#8A4D2E,high,
acrid,leaf,Roasted,Burnt,Acrid,매캐한,true,ROASTED_SMOKY,#5B3A29,high,
ashy,leaf,Roasted,Burnt,Ashy,재 같은,true,ROASTED_SMOKY,#77716A,high,
smoky,leaf,Roasted,Burnt,Smoky,스모키,true,ROASTED_SMOKY,#3B2F2F,high,
brown_roast,leaf,Roasted,Burnt,Brown Roast,브라운 로스트,true,ROASTED_SMOKY,#8A5A3C,high,
cereal,secondary,Roasted,Cereal,Cereal,곡물,false,ROASTED_SMOKY,#D6A04D,high,
grain,leaf,Roasted,Cereal,Grain,곡물,true,ROASTED_SMOKY,#C99A4D,high,
malt,leaf,Roasted,Cereal,Malt,몰트,true,ROASTED_SMOKY,#B87936,high,
spices,primary,Spices,,Spices,향신료,false,SPICE,#8A3D4A,high,SCA/WCR wheel primary category
pungent,leaf,Spices,,Pungent,자극적인 향,true,SPICE,#8E2F3D,high,Outer descriptor directly under Spices
pepper,leaf,Spices,,Pepper,후추,true,SPICE,#3F352E,high,Outer descriptor directly under Spices
brown_spice,secondary,Spices,Brown Spice,Brown Spice,갈색 향신료,false,SPICE,#B5532F,high,
anise,leaf,Spices,Brown Spice,Anise,아니스,true,SPICE,#9D5C3A,high,
nutmeg,leaf,Spices,Brown Spice,Nutmeg,넛맥,true,SPICE,#9D5C3A,high,
cinnamon,leaf,Spices,Brown Spice,Cinnamon,시나몬,true,SPICE,#B5532F,high,
clove,leaf,Spices,Brown Spice,Clove,정향,true,SPICE,#7B3B2F,high,
nutty_cocoa,primary,Nutty/Cocoa,,Nutty/Cocoa,견과/코코아,false,NUTTY,#8A5A3C,high,SCA/WCR wheel primary category
nutty,secondary,Nutty/Cocoa,Nutty,Nutty,견과류,false,NUTTY,#A47148,high,
peanuts,leaf,Nutty/Cocoa,Nutty,Peanuts,땅콩,true,NUTTY,#B88A56,high,
hazelnut,leaf,Nutty/Cocoa,Nutty,Hazelnut,헤이즐넛,true,NUTTY,#8E5E3C,high,
almond,leaf,Nutty/Cocoa,Nutty,Almond,아몬드,true,NUTTY,#A47148,high,
cocoa,secondary,Nutty/Cocoa,Cocoa,Cocoa,코코아,false,CHOCOLATE,#6A4636,high,
chocolate,leaf,Nutty/Cocoa,Cocoa,Chocolate,초콜릿,true,CHOCOLATE,#7B4B37,high,
dark_chocolate,leaf,Nutty/Cocoa,Cocoa,Dark Chocolate,다크 초콜릿,true,CHOCOLATE,#5C3A2E,high,
sweet,primary,Sweet,,Sweet,단맛,false,SWEET,#F28A54,high,SCA/WCR wheel primary category
brown_sugar,secondary,Sweet,Brown Sugar,Brown Sugar,브라운 슈가,false,SWEET,#A96F3D,high,
molasses,leaf,Sweet,Brown Sugar,Molasses,당밀,true,SWEET,#5B2E1F,high,
maple_syrup,leaf,Sweet,Brown Sugar,Maple Syrup,메이플 시럽,true,SWEET,#B87936,high,
caramelized,leaf,Sweet,Brown Sugar,Caramelized,캐러멜화,true,SWEET,#C47A32,high,
honey,leaf,Sweet,Brown Sugar,Honey,꿀,true,SWEET,#D6A04D,high,
vanilla_group,secondary,Sweet,Vanilla,Vanilla,바닐라,false,SWEET,#E0C176,high,
vanillin,leaf,Sweet,Vanilla,Vanillin,바닐린,true,SWEET,#E5C987,high,
vanilla,leaf,Sweet,Vanilla,Vanilla,바닐라,true,SWEET,#E0C176,high,
overall_sweet,leaf,Sweet,,Overall Sweet,전반적인 단맛,true,SWEET,#F3A35C,high,Outer descriptor directly under Sweet
sweet_aromatics,leaf,Sweet,,Sweet Aromatics,달콤한 향,true,SWEET,#F4A261,high,Outer descriptor directly under Sweet
